ragione sociale;sito internet;funzioni attribuite e attività svolte in favore dell'amministrazione; attività di servizio pubblico affidate;quota di partecipazione %;durata impegno;rappresentanti negli organi di governo;trattamento economico spettante ai rappresentanti della provincia  negli organi di governo;risultato esercizio 2021;risultato esercizio 2022;risultato esercizio 2023;onere complessivo gravante sul bilancio (impegnato 2023);incarichi di amministratore dell'ente anno 2023;trattamento economico spettante all'amministratore dell'ente anno 2023
FONDAZIONE CULTURALE SALIERI;http://www.teatrosalieri.it/fondazione;La Fondazione non ha scopo di lucro e si propone di promuovere, sostenere e incrementare la crescita culturale, i progetti e le attività sul territorio con particolare riferimento al Teatro Antonio Salieri.;nessuna;12,5;indeterminato;0;0;14877;1395;2042;0;Consiglio di indirizzo: 1 Presidente e 4 consiglieri;0
FONDAZIONE BARBIERI – ONLUS;non presente;Cura ed educazione dei bambini e giovani spastici della provincia di Verona;nessuna;nessuna;indeterminato;1 presidente e 6 membri cda;0;2217,81;-246831,41;20984,64;0;1 presidente e 6 membri cda;0
FONDAZIONE I.T.S. ACADEMY LAST;http://www.itslogistica.it/;Promuove la diffusione della cultura tecnica e scientifica, sostiene le misure per lo sviluppo dell'economia e le politiche attive del lavoro;nessuna;nessuna;indeterminato;1 nel consiglio di indirizzo;0;568506;641786;560146;0;Giunta esecutiva: 5 membri     /   Consiglio di Amministrazione composto da 5 membri;Z E R O come dichiarato a pag. 9 della Nota Integrativa al bilancio 2023.
FONDAZIONE ATLANTIDE – TEATRO STABILE DI VERONA – G.A.T.;https://www.teatronuovoverona.it/;Non ha fini di lucro: promuove e sviluppa la cultura e l'arte nel settore del teatro di posa, della musica, della danza e del cinema;realizzazione eventi di spettacolo da realizzarsi in accordo con la Regione Veneto e/o altri Enti;nessuna;indeterminato;0;0;223,5;427,27;190,67;0;Consiglio direttivo 1 Presidente, 1 Vice Presidente e 3 Consiglieri;0
FONDAZIONE I.T.S PER IL TURISMO – ITS ACADEMY TURISMO VENETO;https://www.itsturismo.it/;Persegue la finalità di promuovere la diffusione della cultura tecnica e scientifica applicata alle attività di pianificazione e sviluppo dell’offerta culturale e turistica e di sostenere le misure per lo sviluppo dell’economia e delle politiche attive del lavoro.;nessuna;nessuna;indeterminato;0;0;414,94;1535,33;169382,98;0;Giunta esecutiva: 5 membri;DATO NON PERVENUTO – NESSUNO COMPONENTE IN CARICA DESIGNATO DA PROVINCIA DI VERONA
